FID,ROAD_ID,ROADWAY,RD_STATUS,NUMSECTION,COUNTY,SECTION_,BEGIN_POST,END_POST,RTLENGTH,HIGHMEASUR,SHAPE_Leng,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,Shape__Length
7739,75301021,75301021,07,2,75,301021,0,0.421,0.424,0.421,683.0904,5,75,Orange,5,683.090418169427
7740,75301020,75301020,07,2,75,301020,0,0.26,0.254,0.26,408.7377,5,75,Orange,5,408.737667975681
7741,7560000,07560000,09,5,07,560000,0,10.435,10.409,10.435,16751.3293,1,07,Hendry,1,16751.3293258839
7742,86075057,86075057,07,1,86,075057,0,0.078,0.078,0.078,125.1422,4,86,Broward,4,125.142187455151
7743,13000701,13000701,09,1,13,000701,0,0.167,0.161,0.167,259.8046,1,13,Manatee,1,259.80455250847
7744,86000550,86000550,09,1,86,000550,0,0.261,0.264,0.261,424.9365,4,86,Broward,4,424.93647570568
7745,58030000,58030000,02,18,58,030000,0,24.005,24.11,24.005,38801.642,3,58,Santa Rosa,3,38801.6419764675
7746,54900006,54900006,16,1,54,900006,0,0.192,0.192,0.192,308.601,3,54,Jefferson,3,308.600955492361
7747,86200500,86200500,09,5,86,200500,0,1.966,1.967,1.966,3164.8537,4,86,Broward,4,3164.85370871837
7748,54030000,54030000,02,29,54,030000,0,18.076,18.085,18.076,29105.5917,3,54,Jefferson,3,29105.591697374
7749,86000097,86000097,09,2,86,000097,0,0.761,0.762,0.761,1226.5628,4,86,Broward,4,1226.56278577743
7750,58900006,58900006,16,2,58,900006,0,0.33,0.332,0.33,534.1487,3,58,Santa Rosa,3,534.148711912384
7751,87270182,87270182,07,2,87,270182,0,0.136,0.1348,0.136,216.9687,6,87,Miami-Dade,6,216.968686402367
7752,75340001,75340001,07,2,75,340001,0,0.197,0.1967,0.197,316.5916,5,75,Orange,5,316.591618909771
7753,47900002,47900002,16,2,47,900002,0,0.291,0.292,0.291,469.9328,3,47,Calhoun,3,469.932833496578
7754,87000553,87000553,09,3,87,000553,0,0.51,0.525,0.51,844.3314,6,87,Miami-Dade,6,844.331403832276
7755,89900017,89900017,16,1,89,900017,0,0.249,0.251,0.249,404.0025,4,89,Martin,4,404.002509076827
7756,75000073,75000073,09,1,75,000073,0,0.51,0.507,0.51,816.1033,5,75,Orange,5,816.103263899275
7757,12900003,12900003,16,1,12,900003,0,0.27,0.272,0.27,437.0068,1,12,Lee,1,437.006761409701
7758,55160101,55160101,02,6,55,160101,0,0.753,0.75,0.753,1206.7727,3,55,Leon,3,1206.77272620911
7759,27580000,27580000,09,1,27,580000,0,2.612,2.614,2.612,4207.1412,2,27,Baker,2,4207.14118698534
7760,1000020,01000020,09,1,01,000020,0,1.033,1.031,1.033,1659.5637,1,01,Charlotte,1,1659.5637174259
7761,26000034,26000034,09,5,26,000034,0,2.509,2.509,2.509,4037.7576,2,26,Alachua,2,4037.75762093442
7762,1000036,01000036,09,1,01,000036,0,0.916,0.919,0.916,1478.7351,1,01,Charlotte,1,1478.73507275399
7763,26130001,26130001,02,3,26,130001,0,1.347,1.347,1.347,2167.0364,2,26,Alachua,2,2167.03637467889
7764,76110002,76110002,07,1,76,110002,0,0.077,0.077,0.077,123.6682,2,76,Putnam,2,123.668184040375
7765,78080004,78080004,07,2,78,080004,0,0.19,0.19,0.19,306.274,2,78,St. Johns,2,306.274020278218
7766,94501000,94501000,09,3,94,501000,0,5.123,5.127,5.123,8250.8639,4,94,St. Lucie,4,8250.86388929579
7767,93000139,93000139,09,2,93,000139,0,0.525,0.525,0.525,845.3122,4,93,Palm Beach,4,845.312233541129
7768,94540000,94540000,09,2,94,540000,0,1.878,1.876,1.878,3018.3826,4,94,St. Lucie,4,3018.3826315082
7769,93548000,93548000,09,5,93,548000,0,1.547,1.548,1.547,2490.7359,4,93,Palm Beach,4,2490.73587230283
7770,51550016,51550016,09,1,51,550016,0,0.095,0.1,0.095,160.5135,3,51,Gulf,3,160.513541109299
7771,51550018,51550018,09,1,51,550018,0,0.095,0.1,0.095,160.8656,3,51,Gulf,3,160.865550182052
7772,51550023,51550023,09,1,51,550023,0,0.095,0.1,0.095,161.5518,3,51,Gulf,3,161.551775913305
7773,51000005,51000005,09,1,51,000005,0,0.552,0.551,0.552,887.2252,3,51,Gulf,3,887.225187480164
7774,51550024,51550024,09,18,51,550024,0,1.515,1.504,1.515,2419.9058,3,51,Gulf,3,2419.90578085642
7775,51560020,51560020,09,16,51,560020,0,1.838,1.844,1.838,2968.3032,3,51,Gulf,3,2968.30320496153
7776,51560005,51560005,09,3,51,560005,0,0.461,0.4668,0.461,751.2367,3,51,Gulf,3,751.236722181352
7777,51560021,51560021,09,8,51,560021,0,0.814,0.782,0.814,1258.0934,3,51,Gulf,3,1258.09339198783
7778,89505000,89505000,09,1,89,505000,0.012,1.445,1.427,1.445,2296.1731,4,89,Martin,4,2296.17310319196
7779,51590000,51590000,09,3,51,590000,0,8.706,8.731,8.706,14051.7339,3,51,Gulf,3,14051.7339105192
7780,15190307,15190307,07,2,15,190307,0,0.43,0.436,0.43,701.3453,7,15,Pinellas,7,701.345292486234
7781,86190000,86190000,12,25,86,190000,0,10.897,10.904,10.897,17548.0195,4,86,Broward,4,17548.019463102
7782,52543000,52543000,09,8,52,543000,0,16.647,16.671,16.647,26828.8966,3,52,Holmes,3,26828.8966324095
7783,10517000,10517000,09,10,10,517000,0,2.653,2.651,2.653,4266.9784,7,10,Hillsborough,7,4266.97841538876
7784,58900003,58900003,16,2,58,900003,0,0.102,0.098,0.102,157.9109,3,58,Santa Rosa,3,157.910924107504
7785,58900004,58900004,16,2,58,900004,0,0.417,0.423,0.417,680.9458,3,58,Santa Rosa,3,680.945762895942
7786,58900005,58900005,16,1,58,900005,0,0.579,0.579,0.579,931.0136,3,58,Santa Rosa,3,931.013643901306
7787,72515000,72515000,09,5,72,515000,0,2.696,2.696,2.696,4339.4112,2,72,Duval,2,4339.41124437256
7788,38900013,38900013,16,3,38,900013,0,0.573,0.573,0.573,922.4892,2,38,Taylor,2,922.489234172456
7789,50900017,50900017,16,1,50,900017,0,0.77,0.774,0.77,1245.958,3,50,Gadsden,3,1245.95799830217
7790,54000006,54000006,09,2,54,000006,0,5.146,5.148,5.146,8285.2354,3,54,Jefferson,3,8285.23535522452
7791,46000114,46000114,09,2,46,000114,0,0.91,0.923,0.91,1485.3893,3,46,Bay,3,1485.38928556459
7792,29900007,29900007,16,1,29,900007,0,3.375,3.374,3.375,5430.4627,2,29,Columbia,2,5430.46272732995
7793,29900005,29900005,16,3,29,900005,0,7.025,7.02,7.025,11297.9652,2,29,Columbia,2,11297.9651793109
7794,47900008,47900008,16,4,47,900008,0,0.371,0.371,0.371,596.8388,3,47,Calhoun,3,596.838790220986
7795,75000292,75000292,09,2,75,000292,0,0.557,0.558,0.557,897.539,5,75,Orange,5,897.538978936451
7796,72000034,72000034,09,2,72,000034,0,0.288,0.293,0.288,472.0375,2,72,Duval,2,472.03749262264
7797,75000291,75000291,09,1,75,000291,0,0.387,0.387,0.387,622.3238,5,75,Orange,5,622.323758978647
7798,93001002,93001002,07,1,93,001002,0,0.01,0.0101,0.01,16.2482,4,93,Palm Beach,4,16.2482263550662
7799,75008010,75008010,07,2,75,008010,0,0.173,0.173,0.173,278.8225,5,75,Orange,5,278.822462693076
7800,75008017,75008017,07,1,75,008017,0,0.145,0.146,0.145,234.2805,5,75,Orange,5,234.280503795766
7801,93220020,93220020,07,2,93,220020,0,0.297,0.2827,0.297,454.9932,4,93,Palm Beach,4,454.993201997007
7802,18000046,18000046,09,6,18,000046,0,3.105,3.1,3.105,4989.3829,5,18,Sumter,5,4989.38289101956
7803,87260516,87260516,07,1,87,260516,0,0.138,0.138,0.138,222.1088,6,87,Miami-Dade,6,222.108789882605
7804,79000372,79000372,09,3,79,000372,0,0.483,0.481,0.483,773.9142,5,79,Volusia,5,773.914174396445
7805,36210028,36210028,07,2,36,210028,0,0.205,0.205,0.205,330.271,5,36,Marion,5,330.271034247322
7806,87000094,87000094,09,1,87,000094,0,2.931,2.926,2.931,4708.883,6,87,Miami-Dade,6,4708.88301860411
7807,87000473,87000473,09,4,87,000473,0,0.273,0.271,0.273,435.4107,6,87,Miami-Dade,6,435.410650590108
7808,93025500,93025500,09,5,93,025500,0,1.234,1.237,1.234,1990.1681,4,93,Palm Beach,4,1990.16812613384
7809,75008906,75008906,07,1,75,008906,0,0.183,0.183,0.183,294.8213,5,75,Orange,5,294.821265343635
7810,87202001,87202001,07,1,87,202001,0,0.442,0.441,0.442,709.7475,6,87,Miami-Dade,6,709.747501323577
7811,55000038,55000038,09,1,55,000038,0,0.698,0.704,0.698,1133.2978,3,55,Leon,3,1133.29784480105
7812,93506000,93506000,09,2,93,506000,0,1.515,1.514,1.515,2436.3806,4,93,Palm Beach,4,2436.38056286404
7813,12000263,12000263,09,3,12,000263,0,0.58,0.596,0.58,958.4767,1,12,Lee,1,958.4766662414
7814,12000237,12000237,09,1,12,000237,0,1.793,1.791,1.793,2882.4789,1,12,Lee,1,2882.47894443659
7815,93900308,93900308,16,1,93,900308,0,0.079,0.079,0.079,126.7874,4,93,Palm Beach,4,126.78739004736
7816,3631103,03631103,17,2,03,631103,0,0.288,0.289,0.288,465.3627,1,03,Collier,1,465.362733504101
7817,3000013,03000013,09,2,03,000013,0,0.7,0.705,0.7,1134.286,1,03,Collier,1,1134.28600330614
7818,93900312,93900312,16,3,93,900312,0,0.698,0.718,0.698,1156.0055,4,93,Palm Beach,4,1156.00554552102
7819,93900310,93900310,16,1,93,900310,0,0.325,0.323,0.325,519.7733,4,93,Palm Beach,4,519.773345513765
7820,93900030,93900030,16,5,93,900030,0,0.296,0.296,0.296,475.7469,4,93,Palm Beach,4,475.746913618947
7821,93900300,93900300,16,5,93,900300,0,1,1.001,1,1611.6442,4,93,Palm Beach,4,1611.64421991326
7822,78080000,78080000,02,18,78,080000,0,34.855,34.836,34.855,56063.7704,2,78,St. Johns,2,56063.7704328543
7823,13150101,13150101,02,1,13,150101,0,0.235,0.237,0.235,380.9167,1,13,Manatee,1,380.916651301326
7824,51613000,51613000,09,1,51,613000,0,3.793,3.777,3.793,6077.9288,3,51,Gulf,3,6077.92876983154
7825,16300101,16300101,02,2,16,300101,0,1.377,1.381,1.377,2222.5102,1,16,Polk,1,2222.51016319919
7826,7900023,07900023,16,3,07,900023,0,0.888,0.888,0.888,1428.4336,1,07,Hendry,1,1428.433619157
7827,86170001,86170001,09,5,86,170001,0,1.336,1.353,1.336,2178.1801,4,86,Broward,4,2178.18009822362
7828,75017500,75017500,09,12,75,017500,0,2.639,2.639,2.639,4247.2342,5,75,Orange,5,4247.2341763409
7829,93220040,93220040,07,2,93,220040,0,0.18,0.1817,0.18,292.4139,4,93,Palm Beach,4,292.413894587192
7830,59060000,59060000,09,4,59,060000,0,19.955,19.965,19.955,32130.842,3,59,Wakulla,3,32130.8419635908
7831,59592000,59592000,09,1,59,592000,0,1.003,1.002,1.003,1612.7404,3,59,Wakulla,3,1612.74037924114
7832,88000415,88000415,09,2,88,000415,0,1.176,1.175,1.176,1891.4555,4,88,Indian River,4,1891.45554276439
7833,73000027,73000027,09,3,73,000027,0,0.796,0.8,0.796,1287.4346,5,73,Flagler,5,1287.43458756337
7834,93900288,93900288,16,1,93,900288,0,0.248,0.248,0.248,399.3649,4,93,Palm Beach,4,399.364913300997
7835,12000243,12000243,09,1,12,000243,0,0.519,0.512,0.519,824.2855,1,12,Lee,1,824.285490554211
7836,26000020,26000020,09,4,26,000020,0,3.03,3.03,3.03,4876.1522,2,26,Alachua,2,4876.15222024225
7837,75008860,75008860,10,13,75,008860,0,6.267,6.17,6.267,9928.9522,5,75,Orange,5,9928.95220794858
7838,10270119,10270119,07,1,10,270119,0,0.131,0.133,0.131,213.4515,7,10,Hillsborough,7,213.451482668031
7839,10190009,10190009,07,1,10,190009,0,0.99,0.99,0.99,1592.8772,7,10,Hillsborough,7,1592.87719634447
7840,10589117,10589117,07,1,10,589117,0,0.347,0.343,0.347,552.8078,7,10,Hillsborough,7,552.807822432886
7841,47540000,47540000,09,3,47,540000,0,3.125,3.129,3.125,5035.9897,3,47,Calhoun,3,5035.98967041158
7842,78080031,78080031,07,1,78,080031,0,0.363,0.364,0.363,585.0179,2,78,St. Johns,2,585.017916962879
7843,38100000,38100000,09,1,38,100000,0,3.063,3.063,3.063,4929.3986,2,38,Taylor,2,4929.3986397413
7844,58030020,58030020,07,1,58,030020,0,0.158,0.156,0.158,251.4975,3,58,Santa Rosa,3,251.497456923631
7845,94000056,94000056,09,2,94,000056,0,0.289,0.2866,0.289,461.2128,4,94,St. Lucie,4,461.212787934608
7846,38502000,38502000,09,1,38,502000,0,0.637,0.639,0.637,1027.9545,2,38,Taylor,2,1027.95454846174
7847,87000702,87000702,09,1,87,000702,0,0.096,0.0962,0.096,154.8662,6,87,Miami-Dade,6,154.866172485215
7848,47900012,47900012,16,1,47,900012,0,0.219,0.222,0.219,356.9966,3,47,Calhoun,3,356.996554393531
7849,89470002,89470002,07,1,89,470002,0,0.161,0.163,0.161,262.1516,4,89,Martin,8,262.151629907793
7850,93000234,93000234,09,2,93,000234,0,0.795,0.795,0.795,1279.7041,4,93,Palm Beach,4,1279.70407115357
7851,86900140,86900140,16,1,86,900140,0,0.125,0.125,0.125,201.2202,4,86,Broward,4,201.220199965976
7852,90505067,90505067,09,2,90,505067,0,0.21,0.208,0.21,335.3012,6,90,Monroe,6,335.301204615342
7853,73562000,73562000,16,5,73,562000,0,0.625,0.619,0.625,995.7953,5,73,Flagler,5,995.795287937519
7854,86000450,86000450,09,2,86,000450,0,0.8,0.802,0.8,1290.4611,4,86,Broward,4,1290.4611266264
7855,74900005,74900005,16,2,74,900005,0,2.035,2.037,2.035,3278.7768,2,74,Nassau,2,3278.77681637449
7856,93526500,93526500,09,9,93,526500,0,0.925,0.926,0.925,1490.1674,4,93,Palm Beach,4,1490.16742204
7857,74900007,74900007,16,2,74,900007,0,1.523,1.525,1.523,2454.2343,2,74,Nassau,2,2454.23430271982
7858,87000958,87000958,12,2,87,000958,0,1.28,1.28,1.28,2059.3103,6,87,Miami-Dade,6,2059.3103324617
7859,87003008,87003008,07,1,87,003008,0,0.08,0.077,0.08,124.6592,6,87,Miami-Dade,6,124.659229139212
7860,93900367,93900367,16,1,93,900367,0,0.127,0.127,0.127,204.6243,4,93,Palm Beach,4,204.62427681405
7861,93900078,93900078,16,5,93,900078,0,0.374,0.375,0.374,602.8595,4,93,Palm Beach,4,602.859513843991
7862,87270219,87270219,07,2,87,270219,0,0.227,0.225,0.227,362.813,6,87,Miami-Dade,6,362.813014351844
7863,87049501,87049501,09,1,87,049501,0,0.5,0.5,0.5,805.0562,6,87,Miami-Dade,6,805.056240584548
7864,87000441,87000441,09,2,87,000441,0,0.905,0.902,0.905,1452.0031,6,87,Miami-Dade,6,1452.00310753855
7865,93900327,93900327,16,3,93,900327,0,1.291,1.292,1.291,2078.5799,4,93,Palm Beach,4,2078.57985375306
7866,87025000,87025000,09,1,87,025000,0,1.379,1.358,1.379,2186.2003,6,87,Miami-Dade,6,2186.20029968757
7867,87270216,87270216,07,2,87,270216,0,0.302,0.297,0.302,478.5579,6,87,Miami-Dade,6,478.557945719382
7868,93900365,93900365,16,2,93,900365,0,0.125,0.125,0.125,201.1436,4,93,Palm Beach,4,201.143554641206
7869,93900371,93900371,16,2,93,900371,0,0.242,0.242,0.242,389.769,4,93,Palm Beach,4,389.768968518919
7870,86000558,86000558,09,2,86,000558,0.031,0.08,0.05,0.08,80.5078,4,86,Broward,4,80.5077913794984
7871,48030000,48030000,09,7,48,030000,0,5.471,5.494,5.471,8841.329,3,48,Escambia,3,8841.32897791627
7872,73517000,73517000,12,13,73,517000,0,9.564,9.569,9.564,15400.4241,5,73,Flagler,5,15400.424066508
7873,48900005,48900005,16,2,48,900005,0,1.6,1.608,1.6,2587.6049,3,48,Escambia,3,2587.60488210024
7874,60900005,60900005,16,2,60,900005,0,0.436,0.437,0.436,703.0771,3,60,Walton,3,703.077103353056
7875,10570000,10570000,09,1,10,570000,0,4.973,4.975,4.973,8006.8938,7,10,Hillsborough,7,8006.89383485698
7876,87470110,87470110,07,1,87,470110,0,0.131,0.131,0.131,210.511,6,87,Miami-Dade,8,210.511043582627
7877,87000422,87000422,09,9,87,000422,0,1.048,1.062,1.048,1709.2594,6,87,Miami-Dade,6,1709.25940856947
7878,48570000,48570000,09,8,48,570000,0,4.554,4.572,4.554,7357.5235,3,48,Escambia,3,7357.52352724008
7879,87260380,87260380,07,2,87,260380,0,0.404,0.404,0.404,649.4518,6,87,Miami-Dade,6,649.451824902666
7880,87000016,87000016,09,2,87,000016,0,1.5,1.512,1.5,2432.6695,6,87,Miami-Dade,6,2432.66951837311
7881,87260332,87260332,07,1,87,260332,0,0.022,0.022,0.022,35.6694,6,87,Miami-Dade,6,35.6693927935604
7882,77000231,77000231,09,1,77,000231,0,1.5,1.5,1.5,2413.9587,5,77,Seminole,5,2413.95873083791
7883,37000050,37000050,09,1,37,000050,0,2.464,2.47,2.464,3974.4723,2,37,Suwannee,2,3974.47225229853
7884,37040001,37040001,07,1,37,040001,0,0.097,0.092,0.097,148.8619,2,37,Suwannee,2,148.861903325415
7885,70001003,70001003,07,1,70,001003,0,0.122,0.125,0.122,200.7165,5,70,Brevard,5,200.716452646827
7886,36550000,36550000,09,4,36,550000,0,14.85,14.793,14.85,23807.5646,5,36,Marion,5,23807.564557291
7887,72740500,72740500,09,1,72,740500,0,1.992,1.984,1.992,3192.9895,2,72,Duval,2,3192.98950196235
7888,93310004,93310004,07,1,93,310004,0,0.014,0.0149,0.014,23.9456,4,93,Palm Beach,4,23.9455643769761
7889,36501000,36501000,09,2,36,501000,0,12.06,12.018,12.06,19341.5978,5,36,Marion,5,19341.5977883618
7890,70730500,70730500,09,3,70,730500,0,0.863,0.863,0.863,1389.3757,5,70,Brevard,5,1389.37568151714
7891,70000214,70000214,09,2,70,000214,0,13.294,13.295,13.294,21396.5181,5,70,Brevard,5,21396.518064381
7892,70610500,70610500,09,1,70,610500,0,1.373,1.369,1.373,2203.2234,5,70,Brevard,5,2203.22336839084
7893,93900219,93900219,16,5,93,900219,0,0.375,0.376,0.375,604.3656,4,93,Palm Beach,4,604.365563775278
7894,93900124,93900124,16,1,93,900124,0,0.168,0.168,0.168,269.9702,4,93,Palm Beach,4,269.970199482807
7895,93900257,93900257,16,2,93,900257,0,0.731,0.731,0.731,1176.1199,4,93,Palm Beach,4,1176.11985517759
7896,75032500,75032500,09,5,75,032500,0,2.948,2.896,2.948,4660.8936,5,75,Orange,5,4660.89363421763
7897,75320007,75320007,07,1,75,320007,0,0.259,0.258,0.259,415.0256,5,75,Orange,5,415.025600639523
7898,93900009,93900009,16,1,93,900009,0,0.826,0.829,0.826,1333.5951,4,93,Palm Beach,4,1333.59513641353
7899,73900025,73900025,16,3,73,900025,0,0.105,0.104,0.105,167.8634,5,73,Flagler,5,167.863414805002
7900,71470352,71470352,07,1,71,470352,0,0.161,0.161,0.161,258.8275,2,71,Clay,8,258.827526870828
7901,93900145,93900145,16,1,93,900145,0,0.281,0.28,0.281,451.032,4,93,Palm Beach,4,451.032004129631
7902,87000089,87000089,09,8,87,000089,0,1.7,1.721,1.7,2769.8592,6,87,Miami-Dade,6,2769.8591885921
7903,31040000,31040000,02,1,31,040000,0,0.612,0.608,0.612,978.6881,2,31,Gilchrist,2,978.688143730153
7904,89900019,89900019,16,1,89,900019,0,0.071,0.071,0.071,114.4342,4,89,Martin,4,114.434219484921
7905,89900020,89900020,16,1,89,900020,0,0.127,0.126,0.127,202.0385,4,89,Martin,4,202.03845850058
7906,89900021,89900021,16,1,89,900021,0,0.134,0.131,0.134,210.1351,4,89,Martin,4,210.135069725505
7907,51550025,51550025,09,4,51,550025,0,1.276,1.276,1.276,2053.381,3,51,Gulf,3,2053.38104061402
7908,54530000,54530000,09,7,54,530000,0,8.149,8.16,8.149,13132.6361,3,54,Jefferson,3,13132.6360733166
7909,87000463,87000463,09,2,87,000463,0,0.933,0.938,0.933,1509.0366,6,87,Miami-Dade,6,1509.03660715193
7910,87000256,87000256,09,4,87,000256,0,1,1.018,1,1638.3651,6,87,Miami-Dade,6,1638.36514021676
7911,29020000,29020000,02,18,29,020000,0,22.554,22.551,22.554,36291.6374,2,29,Columbia,2,36291.6373882896
7912,90540100,90540100,09,1,90,540100,0.028,2.937,2.914,2.937,4689.313,6,90,Monroe,6,4689.31300105706
7913,87090000,87090000,02,52,87,090000,0,19.882,19.899,19.882,32023.839,6,87,Miami-Dade,6,32023.8390122399
7914,3000060,03000060,09,1,03,000060,0,1.655,1.655,1.655,2663.4259,1,03,Collier,1,2663.42594064366
7915,3501000,03501000,09,1,03,501000,0,3.752,3.747,3.752,6029.6543,1,03,Collier,1,6029.65431225105
7916,17000026,17000026,09,2,17,000026,0,1.106,1.107,1.106,1782.0976,1,17,Sarasota,1,1782.09763660617
7917,93900305,93900305,16,1,93,900305,0,0.084,0.088,0.084,140.9009,4,93,Palm Beach,4,140.900920012721
7918,11517000,11517000,09,3,11,517000,0,3.696,3.688,3.696,5934.7154,5,11,Lake,5,5934.71538299338
7919,11040101,11040101,07,2,11,040101,0,0.11,0.108,0.11,174.0557,5,11,Lake,5,174.055729101594
7920,11000040,11000040,09,1,11,000040,0,2.346,2.348,2.346,3778.4103,5,11,Lake,5,3778.41027460508
7921,87674509,87674509,09,2,87,674509,0,0.889,0.884,0.889,1422.71,6,87,Miami-Dade,6,1422.70999482265
7922,72292265,72292265,07,1,72,292265,0,0.268,0.271,0.268,436.4702,2,72,Duval,2,436.470220412598
7923,10000181,10000181,09,1,10,000181,0,0.102,0.102,0.102,163.6917,7,10,Hillsborough,7,163.691681387841
7924,86070045,86070045,07,1,86,070045,0,0.19,0.19,0.19,305.0452,4,86,Broward,4,305.045203749832
7925,86000385,86000385,09,1,86,000385,0,0.226,0.225,0.226,362.8178,4,86,Broward,4,362.817824126742
7926,76500000,76500000,09,6,76,500000,0,4.324,4.331,4.324,6969.5612,2,76,Putnam,2,6969.56124429146
7927,76000032,76000032,09,2,76,000032,0,1.326,1.325,1.326,2133.1276,2,76,Putnam,2,2133.12758944254
7928,10160048,10160048,07,2,10,160048,0,0.152,0.151,0.152,242.7169,7,10,Hillsborough,7,242.716901100851
7929,76060000,76060000,02,6,76,060000,0,6.668,6.66,6.668,10718.722,2,76,Putnam,2,10718.7219798756
7930,78000018,78000018,09,2,78,000018,0,1.542,1.543,1.542,2483.1334,2,78,St. Johns,2,2483.13335592294
7931,57610103,57610103,09,5,57,610103,0,2.253,2.264,2.253,3643.0501,3,57,Okaloosa,3,3643.0500599741
7932,93080001,93080001,07,1,93,080001,0,0.238,0.2358,0.238,379.4501,4,93,Palm Beach,4,379.450125757192
7933,52000030,52000030,09,1,52,000030,0,1.625,1.626,1.625,2616.278,3,52,Holmes,3,2616.27803498481
7934,52000046,52000046,09,1,52,000046,0,1.499,1.504,1.499,2419.7965,3,52,Holmes,3,2419.79648608609
7935,57650000,57650000,09,2,57,650000,0,0.459,0.459,0.459,739.4673,3,57,Okaloosa,3,739.467337772585
7936,52000050,52000050,09,1,52,000050,0,0.965,0.952,0.965,1532.4841,3,52,Holmes,3,1532.48412670506
7937,57040026,57040026,02,3,57,040026,0,0.899,0.91,0.899,1465.1627,3,57,Okaloosa,3,1465.16271472071
7938,52000031,52000031,09,1,52,000031,0,3.76,3.77,3.76,6067.4058,3,52,Holmes,3,6067.40576148955
7939,94000058,94000058,09,6,94,000058,0.027,0.918,0.891,0.918,1434.5905,4,94,St. Lucie,4,1434.5904820515
7940,16120000,16120000,12,14,16,120000,0,7.104,7.109,7.104,11441.5411,1,16,Polk,1,11441.5410562059
7941,75000303,75000303,09,1,75,000303,0,1.471,1.471,1.471,2367.5737,5,75,Orange,5,2367.57367269077
7942,86070041,86070041,07,2,86,070041,0,0.247,0.247,0.247,397.2498,4,86,Broward,4,397.249837143724
7943,11900003,11900003,16,8,11,900003,0,0.5,0.501,0.5,806.0022,5,11,Lake,5,806.002157109046
7944,71000038,71000038,09,1,71,000038,0,0.715,0.715,0.715,1151.1581,2,71,Clay,2,1151.15807718698
7945,87471248,87471248,07,2,87,471248,0,0.233,0.233,0.233,374.365,6,87,Miami-Dade,8,374.364985864481
7946,4900002,04900002,16,3,04,900002,0,0.8,0.802,0.8,1290.3343,1,04,Desoto,1,1290.33425378543
7947,16900011,16900011,16,1,16,900011,0,0.382,0.382,0.382,614.6951,1,16,Polk,1,614.695134605263
7948,16900010,16900010,16,1,16,900010,0,0.169,0.167,0.169,268.027,1,16,Polk,1,268.026998383122
7949,4900017,04900017,16,2,04,900017,0,2.252,2.252,2.252,3624.8701,1,04,Desoto,1,3624.87009732527
7950,35540000,35540000,09,5,35,540000,0,18.311,18.312,18.311,29470.2447,2,35,Madison,2,29470.2446800746
7951,36030000,36030000,12,30,36,030000,0,22.831,22.814,22.831,36716.3722,5,36,Marion,5,36716.3721634541
7952,37505000,37505000,09,4,37,505000,0,0.405,0.406,0.405,653.0946,2,37,Suwannee,2,653.094616682603
7953,16161000,16161000,09,3,16,161000,0,0.941,0.944,0.941,1520.0047,1,16,Polk,1,1520.00465906038
7954,87260129,87260129,07,2,87,260129,0,0.179,0.178,0.179,286.5472,6,87,Miami-Dade,6,286.547246818662
7955,13000031,13000031,09,7,13,000031,0,3.271,3.275,3.271,5271.232,1,13,Manatee,1,5271.23201571685
7956,12000550,12000550,09,4,12,000550,0,0.546,0.544,0.546,875.7716,1,12,Lee,1,875.771607446325
7957,12000151,12000151,09,3,12,000151,0,2.197,2.199,2.197,3538.7767,1,12,Lee,1,3538.77674654211
7958,28900005,28900005,16,1,28,900005,0,1.317,1.315,1.317,2116.8782,2,28,Bradford,2,2116.87815645048
7959,94100501,94100501,09,1,94,100501,0,2.045,2.048,2.045,3296.6719,4,94,St. Lucie,4,3296.67186459405
7960,17000065,17000065,09,8,17,000065,0,4.224,4.23,4.224,6807.4739,1,17,Sarasota,1,6807.47392354992
7961,93000304,93000304,09,4,93,000304,0,0.685,0.683,0.685,1099.7398,4,93,Palm Beach,4,1099.73983024253
7962,72001031,72001031,07,2,72,001031,0,0.169,0.169,0.169,271.3109,2,72,Duval,2,271.310879222453
7963,72001026,72001026,07,2,72,001026,0,0.219,0.219,0.219,353.1022,2,72,Duval,2,353.102238297824
7964,75008037,75008037,07,2,75,008037,0,0.141,0.142,0.141,228.3279,5,75,Orange,5,228.327894214862
7965,72090176,72090176,07,1,72,090176,0,0.048,0.047,0.048,76.3311,2,72,Duval,2,76.3311333636195
7966,75130000,75130000,12,4,75,130000,0,1.243,1.245,1.243,2002.9891,5,75,Orange,5,2002.98914692684
7967,75000043,75000043,09,3,75,000043,0,0.879,0.878,0.879,1413.5709,5,75,Orange,5,1413.57094436824
7968,36000174,36000174,09,3,36,000174,0,1.93,1.93,1.93,3106.0785,5,36,Marion,5,3106.07845727926
7969,56000004,56000004,09,1,56,000004,0,0.641,0.642,0.641,1033.5579,3,56,Liberty,3,1033.55789266892
7970,87260505,87260505,07,1,87,260505,0,0.012,0.0119,0.012,19.1268,6,87,Miami-Dade,6,19.1268312856979
7971,79000183,79000183,09,4,79,000183,0,6.6,6.605,6.6,10629.9732,5,79,Volusia,5,10629.9731767448
7972,12000605,12000605,17,1,12,000605,0,0.178,0.178,0.178,286.639,1,12,Lee,1,286.638956433927
7973,12000573,12000573,09,2,12,000573,0,0.567,0.568,0.567,913.607,1,12,Lee,1,913.60704306207
7974,48205000,48205000,12,13,48,205000,0,12.654,12.703,12.654,20443.6458,3,48,Escambia,3,20443.6457925858
